unique_tree_id,id_parcela,monitoreo,monitoreo_label,familia,especie,nombre_comun,meses_desde_inicio,elevacion_m,coord_x,coord_y,altura_anterior,copa_anterior,fito_Bueno,fito_Malo,fito_Regular,gremio_Inicial,gremio_Intermedia,gremio_Tardía,loc_Guayabal,loc_San Antonio,loc_Tres Jotas,crecimiento_altura,crecimiento_copa,altura_actual,copa_actual
Guayabal_P3_I12.0,3,3,M3,Asteraceae,Montanoa quadrangularis,Arboloco,12,2814,4736186.280132,2199822.883792,0.52,0.33,1,0,0,1,0,0,1,0,0,0.6799999999999999,0.42,1.2,0.75
Guayabal_P3_I12.0,3,4,M4,Asteraceae,Montanoa quadrangularis,Arboloco,18,2814,4736186.280132,2199822.883792,1.2,0.75,1,0,0,1,0,0,1,0,0,0.5800000000000001,0.14,1.78,0.89
Guayabal_P3_I13.0,3,2,M2,Podocarpaceae,Retrophyllum rospigliosii,Pino romerón,6,2814,4736183.964948,2199822.61921,0.22,0.13,1,0,0,0,0,1,1,0,0,0.11,0.0,0.33,0.13
Guayabal_P3_I13.0,3,3,M3,Podocarpaceae,Retrophyllum rospigliosii,Pino romerón,12,2814,4736183.964948,2199822.61921,0.33,0.13,1,0,0,0,0,1,1,0,0,0.01000000000000001,0.04000000000000001,0.34,0.17
Guayabal_P3_I13.0,3,4,M4,Podocarpaceae,Retrophyllum rospigliosii,Pino romerón,18,2814,4736183.964948,2199822.61921,0.34,0.17,1,0,0,0,0,1,1,0,0,0.06,0.01999999999999999,0.4,0.19
Guayabal_P3_I14.0,3,2,M2,Fagaceae,Quercus humboldtii,Roble,6,2814,4736181.583745,2199822.354665,0.25,0.11,1,0,0,0,0,1,1,0,0,0.03000000000000003,0.16,0.28,0.27
Guayabal_P3_I14.0,3,3,M3,Fagaceae,Quercus humboldtii,Roble,12,2814,4736181.583745,2199822.354665,0.28,0.27,1,0,0,0,0,1,1,0,0,0.01999999999999996,0.07,0.3,0.34
Guayabal_P3_I14.0,3,4,M4,Fagaceae,Quercus humboldtii,Roble,18,2814,4736181.583745,2199822.354665,0.3,0.34,1,0,0,0,0,1,1,0,0,0.07,0.01999999999999996,0.37,0.36
Guayabal_P3_I15.0,3,2,M2,Fabaceae,Senna viarum,Alcaparro,6,2814,4736179.004082,2199821.891563,0.2,0.09,1,0,0,0,0,1,1,0,0,0.08000000000000002,0.06,0.28,0.15
Guayabal_P3_I15.0,3,3,M3,Fabaceae,Senna viarum,Alcaparro,12,2814,4736179.004082,2199821.891563,0.28,0.15,1,0,0,0,0,1,1,0,0,0.09999999999999998,0.08000000000000002,0.38,0.23
Guayabal_P3_I15.0,3,4,M4,Fabaceae,Senna viarum,Alcaparro,18,2814,4736179.004082,2199821.891563,0.38,0.23,1,0,0,0,0,1,1,0,0,0.13,0.05000000000000002,0.51,0.28
Guayabal_P3_I16.0,3,2,M2,Asteraceae,Montanoa quadrangularis,Arboloco,6,2814,4736176.093712,2199822.090037,0.44,0.2,0,1,0,1,0,0,1,0,0,0.26,0.18,0.7,0.38
Guayabal_P3_I16.0,3,3,M3,Asteraceae,Montanoa quadrangularis,Arboloco,12,2814,4736176.093712,2199822.090037,0.7,0.38,1,0,0,1,0,0,1,0,0,0.5900000000000001,0.4399999999999999,1.29,0.8199999999999998
Guayabal_P3_I16.0,3,4,M4,Asteraceae,Montanoa quadrangularis,Arboloco,18,2814,4736176.093712,2199822.090037,1.29,0.82,1,0,0,1,0,0,1,0,0,1.71,0.08000000000000007,3.0,0.9
Guayabal_P3_I17.0,3,2,M2,Aquifoliaceae,Ilex gabinetensis,Cardenillo,6,2814,4736171.992656,2199821.891671,0.28,0.11,1,0,0,0,0,1,1,0,0,0.12,0.05,0.4,0.16
Guayabal_P3_I17.0,3,3,M3,Aquifoliaceae,Ilex gabinetensis,Cardenillo,12,2814,4736171.992656,2199821.891671,0.4,0.16,1,0,0,0,0,1,1,0,0,0.06,0.04999999999999999,0.46,0.21
Guayabal_P3_I17.0,3,4,M4,Aquifoliaceae,Ilex gabinetensis,Cardenillo,18,2814,4736171.992656,2199821.891671,0.46,0.21,1,0,0,0,0,1,1,0,0,0.14,0.0,0.6000000000000001,0.21
Guayabal_P3_I18.0,3,2,M2,Aquifoliaceae,Ilex gabinetensis,Cardenillo,6,2814,4736168.552979,2199821.825536,0.21,0.12,1,0,0,0,0,1,1,0,0,0.03,0.0,0.24,0.12
Guayabal_P3_I18.0,3,3,M3,Aquifoliaceae,Ilex gabinetensis,Cardenillo,12,2814,4736168.552979,2199821.825536,0.24,0.12,1,0,0,0,0,1,1,0,0,0.0,0.03,0.24,0.15
Guayabal_P3_I18.0,3,4,M4,Aquifoliaceae,Ilex gabinetensis,Cardenillo,18,2814,4736168.552979,2199821.825536,0.24,0.15,1,0,0,0,0,1,1,0,0,0.0,0.03,0.24,0.18
