monitoreo,familia,especie,nombre_comun,meses_desde_inicio,elevacion_m,coord_x,coord_y,altura_anterior,copa_anterior,fito_Bueno,fito_Malo,fito_Regular,gremio_Inicial,gremio_Intermedia,gremio_Tardía,loc_Guayabal,loc_San Antonio,loc_Tres Jotas,altura_actual,copa_actual
3,11,20,0,12,2814,4736174.903054,2199823.677554,0.35,0.17,1,0,0,0,1,0,1,0,0,0.4,0.17
4,11,20,0,18,2814,4736174.903054,2199823.677554,0.4,0.17,1,0,0,0,1,0,1,0,0,0.49,0.27
2,22,25,28,6,2814,4736177.151945,2199824.074382,0.21,0.08,1,0,0,0,1,0,1,0,0,0.28,0.14
3,22,25,28,12,2814,4736177.151945,2199824.074382,0.28,0.14,1,0,0,0,1,0,1,0,0,0.31,0.17
2,8,13,13,6,2814,4736179.930105,2199824.40516,0.25,0.12,0,0,1,0,1,0,1,0,0,0.5,0.18
3,8,13,13,12,2814,4736179.930105,2199824.40516,0.5,0.18,1,0,0,0,1,0,1,0,0,0.6,0.32
4,8,13,13,18,2814,4736179.930105,2199824.40516,0.6,0.32,1,0,0,0,1,0,1,0,0,0.63,0.56
2,0,12,7,6,2814,4736210.453589,2199827.453114,0.21,0.15,1,0,0,0,0,1,1,0,0,0.24,0.2
3,0,12,7,12,2814,4736210.453589,2199827.453114,0.24,0.2,1,0,0,0,0,1,1,0,0,0.25,0.2
4,0,12,7,18,2814,4736210.453589,2199827.453114,0.25,0.2,1,0,0,0,0,1,1,0,0,0.25,0.2
2,2,6,18,6,2814,4736182.575972,2199824.868233,0.4,0.13,1,0,0,1,0,0,1,0,0,0.46,0.23
3,2,6,18,12,2814,4736182.575972,2199824.868233,0.46,0.23,1,0,0,1,0,0,1,0,0,0.52,0.32
4,2,6,18,18,2814,4736182.575972,2199824.868233,0.52,0.32,1,0,0,1,0,0,1,0,0,0.55,0.44
2,22,25,28,6,2814,4736185.35409,2199825.132728,0.2,0.13,1,0,0,0,1,0,1,0,0,0.2,0.18
3,22,25,28,12,2814,4736185.35409,2199825.132728,0.2,0.18,1,0,0,0,1,0,1,0,0,0.4,0.36
4,22,25,28,18,2814,4736185.35409,2199825.132728,0.4,0.36,1,0,0,0,1,0,1,0,0,0.64,0.55
2,8,13,13,6,2814,4736187.933775,2199825.926482,0.25,0.1,0,0,1,0,1,0,1,0,0,0.52,0.15
3,8,13,13,12,2814,4736187.933775,2199825.926482,0.52,0.15,1,0,0,0,1,0,1,0,0,0.52,0.3399999999999999
4,8,13,13,18,2814,4736187.933775,2199825.926482,0.52,0.34,1,0,0,0,1,0,1,0,0,0.72,0.7
2,11,20,0,6,2814,4736189.984271,2199826.786369,0.25,0.13,1,0,0,0,1,0,1,0,0,0.41,0.2
3,11,20,0,12,2814,4736189.984271,2199826.786369,0.41,0.2,1,0,0,0,1,0,1,0,0,0.41,0.26
4,11,20,0,18,2814,4736189.984271,2199826.786369,0.41,0.26,1,0,0,0,1,0,1,0,0,0.44,0.26
2,2,6,18,6,2814,4736191.24103,2199828.969193,0.36,0.1,1,0,0,1,0,0,1,0,0,0.36,0.1
